hanja|hangul|english|hidden_index
檢流計|검류계|galvanometer| 檢 流 計    
賭博|도박|gambling| 賭 博     
競技|경기|game| 競 技     
山峽|산협|gap| 山 峽     
庭園|정원|garden| 庭 園     
園藝|원예|gardening| 園 藝     
氣體|기체|gas| 氣 體     
胃痛|위통|gastralgia| 胃 痛     
胃液|위액|gastric juice| 胃 液     
胃炎|위염|gastritis| 胃 炎     
胃下垂|위하수|gastroptosis| 胃 下 垂    
胃鏡|위경|gastroscope| 胃 鏡     
集合|집합|gathering| 集 合     
採集|채집|gathering| 採 集     
計器|계기|gauge| 計 器     
計器|계기|gauge| 計 器     
系圖|계도|genealogy| 系 圖     
一般的|일반적인|general| 一 般 的    
一般|일반|general| 一 般     
將軍|장군|general| 將 軍     
庶務|서무|general affairs| 庶 務     
總選擧|총선거|general election| 總 選 擧    
總支配人|총지배인|general manager| 總 支 配 人   
總會|총회|general meeting| 總 會     
總則|총칙|general rule| 總 則     
槪括|개괄|generalization| 槪 括     
普通|보통|generally| 普 通     
世代|세대|generation| 世 代     
天才|천재|genius| 天 才     
紳士|신사|gentleman| 紳 士     
紳士的|신사적인|gentlemanly| 紳 士 的    
親切|친절|gentleness| 親 切     
地理|지리|geography| 地 理     
地政學|지정학|geopolitics| 地 政 學    
屈地性|굴지성|geotropism| 屈 地 性    
細菌|세균|germ| 細 菌     
萌芽|맹아|germination| 萌 芽     
動名詞|동명사|gerund| 動 名 詞    
幽靈|유령|ghost| 幽 靈     
亡靈|망령|ghost| 亡 靈     
怪談|괴담|ghost story| 怪 談     
巨人|거인|giant| 巨 人     
生薑|생강|ginger| 生 薑     
麒麟|기린|giraffe| 麒 麟     
要点要點|요점|gist| 要 点 要 點   
氷醋酸|빙초산|glacial acetic acid| 氷 醋 酸    
氷河|빙하|glacier| 氷 河     
魅力|매력|glamour| 魅 力     
一見|일견|glance| 一 見     
一見|일견하다|glance| 一 見     
峽谷|협곡|glen| 峽 谷     
滑走|활주|glide| 滑 走     
滑走|활주하는|gliding| 滑 走     
閃光|섬광|glint| 閃 光     
球體|구체|globe| 球 體     
暗影|암영|gloom| 暗 影     
憂鬱|우울|gloom| 憂 鬱     
陰鬱|음울|gloom| 陰 鬱     
榮光|영광|glory| 榮 光     
語彙|어휘|glossary| 語 彙     
聲門|성문|glottis| 聲 門     
女神|여신|goddess| 女 神     
代父|대부|godfather| 代 父     
代母|대모|godmother| 代 母     
金箔|금박|gold leaf| 金 箔     
全盛期|전성기|golden age| 全 盛 期    
淋疾|임질|gonorrhea| 淋 疾     
商品|상품|good| 商 品     
誠意|성의|good faith| 誠 意     
幸運|행운|good luck| 幸 運     
良貨|양화|good money| 良 貨     
周旋|주선|good offices| 周 旋     
商品|상품|goods| 商 品     
物品|물품|goods| 物 品     
亂暴者|난폭자|goon| 亂 暴 者    
痛風|통풍|gout| 痛 風     
統治|통치하는|governing| 統 治     
政治|정치|government| 政 治     
政府|정부|government| 政 府     
與黨|여당|government party| 與 黨     
支配者|지배자|governor| 支 配 者    
優美|우미|grace| 優 美     
優雅|우아|grace| 優 雅     
恩惠|은혜|grace| 恩 惠     
段階|단계|gradation| 段 階     
階級|계급|grade| 階 級     
程度|정도|grade| 程 度     
穀物|곡물|grain| 穀 物     
文法|문법|grammar| 文 法     
文典|문전|grammar| 文 典     
雄大|웅대|grandeur| 雄 大     
祖父|조부|grandfather| 祖 父     
祖母|조모|grandmother| 祖 母     
花崗岩|화강암|granite| 花 崗 岩    
授與|수여하다|grant| 授 與     
圖表|도표|graph| 圖 表     
方眼紙|방안지|graph paper| 方 眼 紙    
石墨|석묵|graphite| 石 墨     
格鬪|격투|grappling| 格 鬪     
牧草|목초|grass| 牧 草     
彫刻|조각하다|grave| 彫 刻     
彫像|조상|graven image| 彫 像     
墓地|묘지|graveyard| 墓 地     
重力|중력|gravity| 重 力     
嚴肅|엄숙|gravity| 嚴 肅     
放牧|방목|grazing| 放 牧     
偉大|위대|greatness| 偉 大     
貪慾|탐욕|greed| 貪 慾     
慾心|욕심|greed| 慾 心     
手榴彈|수류탄|grenade| 手 榴 彈    
地面|지면|ground| 地 面     
地盤|지반|ground| 地 盤     
樹立|수립하다|ground| 樹 立     
成長|성장하는|growing| 成 長     
成長|성장|growth| 成 長     
生長|생장|growth| 生 長     
發育|발육|growth| 發 育     
發達|발달|growth| 發 達     
怨恨|원한|grudge| 怨 恨     
遺恨|유한|grudge| 遺 恨     
保證|보증|guarantee| 保 證     
保證|보증하다|guarantee| 保 證     
營倉|영창|guardhouse| 營 倉     
保護者|보호자|guardian| 保 護 者    
保護|보호|guardianship| 保 護     
案內|안내|guidance| 案 內     
指導|지도|guidance| 指 導     
道標|도표|guide| 道 標     
斷頭臺|단두대|guillotine| 斷 頭 臺    
大砲|대포|gun| 大 砲     
砲車|포차|gun carriage| 砲 車     
砲艦|포함|gunboat| 砲 艦     
綿火藥|면화약|guncotton| 綿 火 藥    
砲火|포화|gunfire| 砲 火     
砲術|포술|gunnery| 砲 術     
火藥|화약|gunpowder| 火 藥     
銃床|총상|gunstock| 銃 床     
噴出|분출하는|gushing| 噴 出     
體操|체조|gymnastics| 體 操     
習慣|습관|habit| 習 慣     
口臭|구취|halitosis| 口 臭     
幻覺|환각|hallucination| 幻 覺     
半減|반감하다|halve| 半 減     
便覽|편람|handbook| 便 覽     
手細工|수세공|handicraft| 手 細 工    
手藝|수예|handicraft| 手 藝     
取扱|취급|handling| 取 扱     
操縱|조종|handling| 操 縱     
欄干|난간|handrail| 欄 干     
握手|악수|handshake| 握 手     
筆跡|필적|handwriting| 筆 跡     
格納庫|격납고|hangar| 格 納 庫    
絞殺|교살|hanging| 絞 殺     
宿醉|숙취|hangover| 宿 醉     
幸福|행복|happiness| 幸 福     
先驅者|선구자|harbinger| 先 驅 者    
硬口盖|경구개|hard palate| 硬 口 盖    
硬水|경수|hard water| 硬 水     
硬度|경도|hardness| 硬 度     
無情|무정|hardness| 無 情     
倍音|배음|harmonic| 倍 音     
調和|조화|harmony| 調 和     
和合|화합|harmony| 和 合     
和聲|화성|harmony| 和 聲     
收穫|수확|harvest| 收 穫     
艙口|창구|hatch| 艙 口     
憎惡|증오|hatred| 憎 惡     
乾草|건초|hay| 乾 草     
危險|위험|hazard| 危 險     
頭腦|두뇌|head| 頭 腦     
本社|본사|head office| 本 社     
本店|본점|head office| 本 店     
頭痛|두통|headache| 頭 痛     
題目|제목|heading| 題 目     
校長|교장|headmaster| 校 長     
頭註|두주|headnote| 頭 註     
本部|본부|headquarters| 本 部     
健康|건강|health| 健 康     
補聽器|보청기|hearing aid| 補 聽 器    
心臟|심장|heart| 心 臟     
中心|중심|heart| 中 心     
心血|심혈|heart's blood| 心 血     
熱容量|열용량|heat capacity| 熱 容 量    
熱線|열선|heat rays| 熱 線     
熱處理|열처리|heat treatment| 熱 處 理    
熱波|열파|heat wave| 熱 波     
日射病|일사병|heatstroke| 日 射 病    
天國|천국|heaven| 天 國     
天體|천체|heavenly body| 天 體     
重水素|중수소|heavy hydrogen| 重 水 素    
重油|중유|heavy oil| 重 油     
重水|중수|heavy water| 重 水     
覇權|패권|hegemony| 覇 權     
高度|고도|height| 高 度     
高地|고지|height| 高 地     
嗣子|사자|heir| 嗣 子     
後繼者|후계자|heir| 後 繼 者    
螺旋|나선|helix| 螺 旋     
地獄|지옥|hell| 地 獄     
舵手|타수|helmsman| 舵 手     
赤鐵鑛|적철광|hematite| 赤 鐵 鑛    
半球|반구|hemisphere| 半 球     
痔疾|치질|hemorrhoids| 痔 疾     
痔核|치핵|hemorrhoids| 痔 核     
肝炎|간염|hepatitis| 肝 炎     
草本|초본|herb| 草 本     
牧者|목자|herdsman| 牧 者     
今後|금후|hereafter| 今 後     
遺傳|유전|heredity| 遺 傳     
異端|이단|heresy| 異 端     
世襲|세습|heritage| 世 襲     
隱者|은자|hermit| 隱 者     
英雄|영웅|hero| 英 雄     
勇士|용사|hero| 勇 士     
英雄的|영웅적인|heroic| 英 雄 的    
女傑|여걸|heroine| 女 傑     
躊躇|주저|hesitation| 躊 躇     
他|타|heter| 他      
他律|타율|heteronomy| 他 律     
全盛期|전성기|heyday| 全 盛 期    
冬眠|동면|hibernation| 冬 眠     
皮革|피혁|hide| 皮 革     
象形文字|상형문자|hieroglyph| 象 形 文 字   
高氣壓|고기압|high atmospheric pressure| 高 氣 壓    
高血壓|고혈압|high blood pressure| 高 血 壓    
高周波|고주파|high frequency| 高 周 波    
高僧|고승|high priest| 高 僧     
公海|공해|high sea| 公 海     
高潮|고조|high tide| 高 潮     
大逆|대역|high treason| 大 逆     
滿潮|만조|high water| 滿 潮     
妨害|방해|hindrance| 妨 害     
暗示|암시|hint| 暗 示     
暗示|암시하다|hint| 暗 示     
奧地|오지|hinterland| 奧 地     
河馬|하마|hippopotamus| 河 馬     
雇傭|고용하다|hire| 雇 傭     
沿革|연혁|history| 沿 革     
成功|성공|hit| 成 功     
趣味|취미|hobby| 趣 味     
保留|보류하다|hold| 保 留     
休日|휴일|holiday| 休 日     
神聖|신성|holiness| 神 聖     
聖職|성직|holy orders| 聖 職     
家庭|가정|home| 家 庭     
本壘|본루|home plate| 本 壘     
宿題|숙제|homework| 宿 題     
同質|동질|homogeneous| 同 質     
正直|정직|honesty| 正 直     
名譽|명예|honor| 名 譽     
尊敬|존경하다|honor| 尊 敬     
敬語|경어|honorific| 敬 語     
希望|희망|hope| 希 望     
期待|기대|hope| 期 待     
希望|희망하다|hope| 希 望     
競馬|경마|horse racing| 競 馬     
騎手|기수|horseman| 騎 手     
馬術|마술|horsemanship| 馬 術     
病院|병원|hospital| 病 院     
軍勢|군세|host| 軍 勢     
女給|여급|hostess| 女 給     
敵意|적의|hostility| 敵 意     
敵對|적대|hostility| 敵 對     
家屋|가옥|house| 家 屋     
往診|왕진|house call| 往 診     
主婦|주부|housewife| 主 婦     
家事|가사|housework| 家 事     
住宅|주택|housing| 住 宅     
色彩|색채|hue| 色 彩     
色相|색상|hue| 色 相     
人間的|인간적인|human| 人 間 的    
人性|인성|human nature| 人 性     
人情|인정|human nature| 人 情     
人本主義|인본주의|humanism| 人 本 主 義   
人類|인류|humanity| 人 類     
人情|인정|humanity| 人 情     
博愛|박애|humanity| 博 愛     
濕氣|습기|humidity| 濕 氣     
屈辱的|굴욕적인|humiliating| 屈 辱 的    
屈辱|굴욕|humiliation| 屈 辱     
謙遜|겸손|humility| 謙 遜     
腐植土|부식토|humus| 腐 植 土    
空腹|공복|hunger| 空 腹     
雜種|잡종|hybrid| 雜 種     
鹽酸|염산|hydrochloric acid| 鹽 酸     
靑酸|청산|hydrocyanic acid| 靑 酸     
加水分解|가수분해|hydrolysis| 加 水 分 解   
恐水病|공수병|hydrophobia| 恐 水 病    
狂犬病|광견병|hydrophobia| 狂 犬 病    
雙曲線|쌍곡선|hyperbola| 雙 曲 線    
菌絲|균사|hypha| 菌 絲     
僞善|위선|hypocrisy| 僞 善     
假設|가설|hypothesis| 假 設     
假定|가정|hypothesis| 假 定     
浮氷|부빙|ice floe| 浮 氷     
氷水|빙수|ice water| 氷 水     
氷山|빙산|iceberg| 氷 山     
魚龍|어룡|ichthyosaur| 魚 龍     
聖像|성상|icon| 聖 像     
觀念|관념|idea| 觀 念     
思想|사상|idea| 思 想     
理念|이념|idea| 理 念     
理想|이상적인|ideal| 理 想     
觀念的|관념적인|ideal| 觀 念 的    
理想|이상|ideal| 理 想     
理想主義|이상주의|idealism| 理 想 主 義   
唯心論|유심론|idealism| 唯 心 論    
理想化|이상화|idealization| 理 想 化    
熟語|숙어|idiom| 熟 語     
無爲|무위|idleness| 無 爲     
偶像|우상|idol| 偶 像     
牧歌的|목가적인|idyllic| 牧 歌 的    
點火|점화|ignition| 點 火     
發火|발화|ignition| 發 火     
無知|무지|ignorance| 無 知     
無視|무시하다|ignore| 無 視     
回腸|회장|ileum| 回 腸     
惡意|악의|ill will| 惡 意     
惡感情|악감정|ill will| 惡 感 情    
違法|위법|illegality| 違 法     
不法|불법|illegality| 不 法     
文盲|문맹|illiteracy| 文 盲     
非論理的|비논리적인|illogical| 非 論 理 的   
照明|조명|illumination| 照 明     
照度|조도|illumination| 照 度     
幻影|환영|illusion| 幻 影     
幻像|환상|illusion| 幻 像     
迷妄|미망|illusion| 迷 妄     
實例|실례|illustration| 實 例     
例證|예증|illustration| 例 證     
偶像|우상|image| 偶 像     
映像暎像|영상|image| 映 像 暎 像   
想像|상상|imagination| 想 像     
想像|상상하다|imagine| 想 像     
推測|추측하다|imagine| 推 測     
不均衡|불균형|imbalance| 不 均 衡    
低能|저능|imbecility| 低 能     
模倣|모방|imitation| 模 倣     
模造|모조|imitation| 模 造     
內在的|내재적인|immanent| 內 在 的    
切迫|절박|imminence| 切 迫     
急迫|급박|imminence| 急 迫     
過度|과도|immoderation| 過 度     
帝政|제정|imperialism| 帝 政     
刺戟|자극|impetus| 刺 戟     
道具|도구|implement| 道 具     
用具|용구|implement| 用 具     
履行|이행|implementation| 履 行     
連累|연루|implication| 連 累     
包含|포함|implication| 包 含     
含蓄|함축|implication| 含 蓄     
輸入|수입하다|import| 輸 入     
輸入|수입|import| 輸 入     
賦課|부과|imposition| 賦 課     
受精|수정|impregnation| 受 精     
印象|인상|impression| 印 象     
投獄|투옥|imprisonment| 投 獄     
禁錮|금고|imprisonment| 禁 錮     
幽閉|유폐|imprisonment| 幽 閉     
不正|부정|impropriety| 不 正     
改善|개선|improvement| 改 善     
向上|향상|improvement| 向 上     
改良|개량|improvement| 改 良     
衝動的|충동적인|impulsive| 衝 動 的    
不純|불순|impurity| 不 純     
不注意|부주의|inattention| 不 注 意    
先天的|선천적인|inborn| 先 天 的    
白熱|백열|incandescence| 白 熱     
呪文|주문|incantation| 呪 文     
幽閉|유폐|incarceration| 幽 閉     
權化|권화|incarnation| 權 化     
化身|화신|incarnation| 化 身     
香爐|향로|incense burner| 香 爐     
刺戟|자극|incentive| 刺 戟     
誘因|유인|incentive| 誘 因     
發生|발생|incidence| 發 生     
入射|입사|incidence| 入 射     
燒却|소각|incineration| 燒 却     
意向|의향|inclination| 意 向     
包含|포함|inclusion| 包 含     
包括|포괄|inclusion| 包 括     
無能力|무능력|incompetence| 無 能 力    
無能力者|무능력자|incompetent| 無 能 力 者   
矛盾|모순|inconsistency| 矛 盾     
不定|부정|inconstancy| 不 定     
不便|불편|inconvenience| 不 便     
合同|합동|incorporation| 合 同     
編入|편입|incorporation| 編 入     
繁殖|번식하다|increase| 繁 殖     
繁殖|번식|increase| 繁 殖     
孵化|부화|incubation| 孵 化     
不治|불치|incurability| 不 治     
賠償|배상|indemnity| 賠 償     
辨償|변상|indemnity| 辨 償     
自主|자주|independence| 自 主     
自立|자립|independence| 自 立     
指標|지표|index| 指 標     
指數|지수|index number| 指 數     
指示|지시|indication| 指 示     
冷淡|냉담|indifference| 冷 淡     
憤慨|분개|indignation| 憤 慨     
間接|간접|indirectness| 間 接     
無分別|무분별|indiscretion| 無 分 別    
個人|개인적인|individual| 個 人     
個人主義|개인주의|individualism| 個 人 主 義   
個人主義者|개인주의자|individualist| 個 人 主 義 者  
個性|개성|individuality| 個 性     
人格|인격|individuality| 人 格     
惹起|야기하다|induce| 惹 起     
誘發|유발하다|induce| 誘 發     
誘導|유도|inducement| 誘 導     
誘引|유인|inducement| 誘 引     
工業團地|공업단지|industrial park| 工 業 團 地   
産業|산업|industry| 産 業     
工業|공업|industry| 工 業     
事業|사업|industry| 事 業     
勤勉|근면|industry| 勤 勉     
內在|내재하다|indwelling| 內 在     
無能|무능|inefficiency| 無 能     
不平等|불평등|inequality| 不 平 等    
惰性|타성|inertia| 惰 性     
惰力|타력|inertia| 惰 力     
必然|필연적인|inevitable| 必 然     
不便|불편|inexpediency| 不 便     
未熟|미숙|inexperience| 未 熟     
惡評|악평|infamy| 惡 評     
汚名|오명|infamy| 汚 名     
幼少|유소|infancy| 幼 少     
幼年|유년|infancy| 幼 年     
幼兒|유아|infant| 幼 兒     
推測|추측하다|infer| 推 測     
推理|추리|inference| 推 理     
劣等|열등|inferiority| 劣 等     
劣等感|열등감|inferiority complex| 劣 等 感    
不妊|불임|infertility| 不 妊     
背信|배신|infidelity| 背 信     
不貞|부정|infidelity| 不 貞     
內野|내야|infield| 內 野     
無窮|무궁|infinitude| 無 窮     
可燃物|가연물|inflammable| 可 燃 物    
炎症|염증|inflammation| 炎 症     
抑揚|억양|inflection| 抑 揚     
花序|화서|inflorescence| 花 序     
影響|영향|influence| 影 響     
勢力|세력|influence| 勢 力     
權勢|권세|influence| 權 勢     
偉力|위력|influence| 偉 力     
有力|유력자|influence| 有 力     
左右|좌우하다|influence| 左 右     
流入流入|유입|influx| 流 入 流 入   
情報|정보|information| 情 報     
報告|보고|information| 報 告     
報道|보도|information| 報 道     
知識|지식|information| 知 識     
見聞|견문|information| 見 聞     
違反|위반하다|infract| 違 反     
收穫|수확|ingathering| 收 穫     
忘恩|망은|ingratitude| 忘 恩     
材料|재료|ingredient| 材 料     
居住者|거주자|inhabitant| 居 住 者    
吸入|흡입|inhalation| 吸 入     
相續|상속|inheritance| 相 續     
遺産|유산|inheritance| 遺 産     
不正|부정|iniquity| 不 正     
傳授|전수|initiation| 傳 授     
注入|주입|injection| 注 入     
損害|손해|injury| 損 害     
傷害|상해|injury| 傷 害     
危害|위해|injury| 危 害     
不法|불법|injustice| 不 法     
不正|부정|injustice| 不 正     
內陸|내륙|inland| 內 陸     
內海|내해|inland sea| 內 海     
旅館|여관|inn| 旅 館     
先天的|선천적인|innate| 先 天 的    
內耳|내이|inner ear| 內 耳     
無罪|무죄|innocence| 無 罪     
新機軸|신기축|innovation| 新 機 軸    
革新|혁신|innovation| 革 新     
諷刺|풍자|innuendo| 諷 刺     
種痘|종두|inoculation| 種 痘     
質問|질문|inquiry| 質 問     
照會|조회|inquiry| 照 會     
調査|조사|inquiry| 調 査     
取調|취조|inquiry| 取 調     
碑銘|비명|inscription| 碑 銘     
碑文|비문|inscription| 碑 文     
不安定|불안정|insecurity| 不 安 定    
無神經|무신경|insensibility| 無 神 經    
揷入|삽입|insertion| 揷 入     
內部|내부|inside| 內 部     
眼識|안식|insight| 眼 識     
識見|식견|insight| 識 見     
記章|기장|insignia| 記 章     
徽章|휘장|insignia| 徽 章     
主張|주장|insistence| 主 張     
固執|고집|insistence| 固 執     
傲慢|오만|insolence| 傲 慢     
監察|감찰|inspection| 監 察     
靈感|영감|inspiration| 靈 感     
鼓吹|고취|inspiration| 鼓 吹     
鼓舞|고무|inspiration| 鼓 舞     
感化|감화|inspiration| 感 化     
設備|설비|installation| 設 備     
裝置|장치|installation| 裝 置     
例證|예증하다|instance| 例 證     
刹那|찰나|instant| 刹 那     
瞬間|순간|instant| 瞬 間     
本能|본능|instinct| 本 能     
設立|설립|institution| 設 立     
制度|제도|institution| 制 度     
訓令|훈령|instruction| 訓 令     
指令|지령|instruction| 指 令     
指示|지시|instruction| 指 示     
命令|명령|instruction| 命 令     
侮辱|모욕하다|insult| 侮 辱     
侮辱|모욕|insult| 侮 辱     
保險|보험|insurance| 保 險     
保證|보증하다|insure| 保 證     
暴徒|폭도|insurgent| 暴 徒     
反亂者|반란자|insurgent| 反 亂 者    
暴動|폭동|insurrection| 暴 動     
積分|적분|integral| 積 分     
保全|보전|integrity| 保 全     
知性|지성|intelligence| 知 性     
智能|지능|intelligence| 智 能     
情報|정보|intelligence| 情 報     
集約的|집약적인|intensive| 集 約 的    
意向|의향|intention| 意 向     
目的|목적|intention| 目 的     
遮斷|차단|interception| 遮 斷     
仲裁|중재|intercession| 仲 裁     
交換|교환|interchange| 交 換     
交通|교통|intercourse| 交 通     
關心|관심|interest| 關 心     
感興|감흥|interest| 感 興     
利害關係|이해관계|interest| 利 害 關 係   
利權|이권|interest| 利 權     
權益|권익|interest| 權 益     
利益|이익|interest| 利 益     
妨害|방해|interference| 妨 害     
內部|내부|interior| 內 部     
奧地|오지|interior| 奧 地     
內角|내각|interior angle| 內 角     
對話者|대화자|interlocutor| 對 話 者    
幕間|막간|interlude| 幕 間     
媒介|매개|intermediary| 媒 介     
仲介|중개|intermediation| 仲 介     
土葬|토장|interment| 土 葬     
內面的|내면적인|internal| 內 面 的    
內在的|내재적인|internal| 內 在 的    
國際的|국제적인|international| 國 際 的    
抑留|억류|internment| 抑 留     
解釋|해석|interpretation| 解 釋     
通譯|통역|interpretation| 通 譯     
質問|질문하다|interrogate| 質 問     
審問|심문|interrogation| 審 問     
質問者|질문자|interrogator| 質 問 者    
中斷|중단|interruption| 中 斷     
中絶|중절|interruption| 中 絶     
不通|불통|interruption| 不 通     
交叉|교차|intersection| 交 叉     
介入|개입|intervention| 介 入     
會見|회견|interview| 會 見     
面接|면접|interview| 面 接     
會見者|회견자|interviewer| 會 見 者    
親密|친밀|intimacy| 親 密     
親交|친교|intimacy| 親 交     
脅迫者|협박자|intimidator| 脅 迫 者    
陶醉|도취|intoxication| 陶 醉     
密通|밀통|intrigue| 密 通     
密通|밀통하다|intrigue| 密 通     
紹介|소개하다|intro| 紹 介     
導入|도입|introduction| 導 入     
紹介|소개|introduction| 紹 介     
序論|서론|introduction| 序 論     
侵入|침입하다|intrude| 侵 入     
侵入者|침입자|intruder| 侵 入 者    
亂入者|난입자|intruder| 亂 入 者    
浸水|침수하다|inundate| 浸 水     
殺到|쇄도하다|inundate| 殺 到     
浸水|침수|inundation| 浸 水     
侵入者|침입자|invader| 侵 入 者    
失效|실효|invalidation| 失 效     
侵入|침입|invasion| 侵 入     
侵掠|침략|invasion| 侵 掠     
發明|발명|invention| 發 明     
調査|조사|investigation| 調 査     
搜査|수사|investigation| 搜 査     
任官|임관|investiture| 任 官     
投資|투자|investment| 投 資     
出資|출자|investment| 出 資     
勸誘|권유|invitation| 勸 誘     
連累|연루|involvement| 連 累     
電離|전리|ionization| 電 離     
虹彩|홍채|iris| 虹 彩     
鐵分|철분|iron| 鐵 分     
砂鐵|사철|iron sand| 砂 鐵     
鐵器|철기|ironware| 鐵 器     
鐵工|철공|ironworker| 鐵 工     
諷刺|풍자|irony| 諷 刺     
反語|반어|irony| 反 語     
不條理|부조리|irrationality| 不 條 理    
不規則|불규칙|irregularity| 不 規 則    
變則|변칙|irregularity| 變 則     
無責任|무책임|irresponsibility| 無 責 任    
灌漑|관개|irrigation| 灌 漑     
孤立|고립|isolation| 孤 立     
隔離|격리|isolation| 隔 離     
分離|분리|isolation| 分 離     
同型|동형|isomorphism| 同 型     
出版|출판하다|issue| 出 版     
地峽|지협|isthmus| 地 峽     
項目|항목|item| 項 目     
旅程|여정|itinerary| 旅 程     
道程|도정|itinerary| 道 程     
象牙|상아|ivory| 象 牙     
翡翠|비취|jade| 翡 翠     
硬玉|경옥|jadeite| 硬 玉     
碧玉|벽옥|jasper| 碧 玉     
嫉妬|질투|jealousy| 嫉 妬     
棧橋|잔교|jetty| 棧 橋     
一致|일치하다|jibe| 一 致     
裁判官|재판관|judge| 裁 判 官    
判事|판사|judge| 判 事     
柔道|유도|judo| 柔 道     
跳躍|도약하는|jumping| 跳 躍     
中學校|중학교|junior high school| 中 學 校    
正義|정의|justice| 正 義     
公正|공정|justice| 公 正     
公平|공평|justice| 公 平     
萬華鏡|만화경|kaleidoscope| 萬 華 鏡    
核心|핵심|kernel| 核 心     
燈油|등유|kerosene| 燈 油     
要衝|요충|key point| 要 衝     
腎臟|신장|kidney| 腎 臟     
殺人者|살인자|killer| 殺 人 者    
種類|종류|kind| 種 類     
幼稚園|유치원|kindergarten| 幼 稚 園    
國王|국왕|king| 國 王     
王國|왕국|kingdom| 王 國     
廚房|주방|kitchen| 廚 房     
按摩|안마하다|knead| 按 摩     
膝蓋骨|슬개골|kneecap| 膝 蓋 骨    
編物|편물|knitting| 編 物     
知識|지식|knowledge| 知 識     
陰脣|음순|labium| 陰 脣     
勤勞|근로|labor| 勤 勞     
勞動者|노동자|laborer| 勞 動 者    
迷路|미로|labyrinth| 迷 路     
迷宮|미궁|labyrinth| 迷 宮     
乳酸|유산|lactic acid| 乳 酸     
積載|적재|lading| 積 載     
淑女|숙녀|lady| 淑 女     
貴婦人|귀부인|lady| 貴 婦 人    
湖水|호수|lake| 湖 水     
諷刺|풍자하다|lampoon| 諷 刺     
兵長|병장|lance corporal| 兵 長     
槍騎兵|창기병|lancer| 槍 騎 兵    
陸地|육지|land| 陸 地     
地雷|지뢰|land mine| 地 雷     
地租|지조|land tax| 地 租     
上陸|상륙|landing| 上 陸     
着陸|착륙|landing| 着 陸     
地主|지주|landlord| 地 主     
造園|조원|landscape gardening| 造 園     
言語|언어|language| 言 語     
瑠璃|유리|lapis lazuli| 瑠 璃     
消滅|소멸하다|lapse| 消 滅     
落葉松|낙엽송|larch| 落 葉 松    
幼蟲|유충|larva| 幼 蟲     
幼生|유생|larva| 幼 生     
喉頭|후두|larynx| 喉 頭     
無氣力|무기력|lassitude| 無 氣 力    
最後|최후|last| 最 後     
潛在|잠재|latency| 潛 在     
旋盤|선반|lathe| 旋 盤     
汽艇|기정|launch| 汽 艇     
熔岩|용암|lava| 熔 岩     
法學|법학|law| 法 學     
俗人|속인|layman| 俗 人     
鉛毒|연독|lead poisoning| 鉛 毒     
指導者|지도자|leader| 指 導 者    
主役|주역|leading part| 主 役     
腐葉土|부엽토|leaf mold| 腐 葉 土    
同盟|동맹|league| 同 盟     
聯盟|연맹|league| 聯 盟     
跳躍|도약하다|leap| 跳 躍     
閏年|윤년|leap year| 閏 年     
學問|학문|learning| 學 問     
酵母|효모|leaven| 酵 母     
講師|강사|lecturer| 講 師     
講演者|강연자|lecturer| 講 演 者    
元帳|원장|ledger| 元 帳     
左派|좌파|left wing| 左 派     
合法的|합법적인|legal| 合 法 的    
立法|입법|legislation| 立 法     
立法者|입법자|legislator| 立 法 者    
餘暇|여가|leisure| 餘 暇     
癩病|나병|leprosy| 癩 病     
學課|학과|lesson| 學 課     
課業|과업|lesson| 課 業     
致命的|치명적인|lethal| 致 命 的    
致死|치사적인|lethal| 致 死     
昏睡|혼수|lethargy| 昏 睡     
字體|자체|lettering| 字 體     
白血球|백혈구|leucocyte| 白 血 球    
水準|수준|level| 水 準     
中傷|중상하다|libel| 中 傷     
解放|해방하다|liberate| 解 放     
釋放|석방하다|liberate| 釋 放     
解放|해방|liberation| 解 放     
自由|자유|liberty| 自 由     
司書|사서|librarian| 司 書     
免許|면허|license| 免 許     
認可|인가|license| 認 可     
免許|면허하다|license| 免 許     
甘草|감초|licorice| 甘 草     
生命|생명|life| 生 命     
靭帶|인대|ligament| 靭 帶     
輕騎兵|경기병|light cavalry| 輕 騎 兵    
輕音樂|경음악|light music| 輕 音 樂    
光波|광파|light wave| 光 波     
燈臺|등대|lighthouse| 燈 臺     
褐炭|갈탄|lignite| 褐 炭     
可能性|가능성|likelihood| 可 能 性    
嗜好|기호|liking| 嗜 好     
百合|백합|lily| 百 合     
手足|수족|limb| 手 足     
限界|한계|limit| 限 界     
限度|한도|limit| 限 度     
際限|제한|limit| 際 限     
制限|제한|limitation| 制 限     
限定版|한정판|limited edition| 限 定 版    
路線|노선|line| 路 線     
行列|행렬|line| 行 列     
血統|혈통|lineage| 血 統     
尺度|척도|linear measure| 尺 度     
線審|선심|linesman| 線 審     
獅子|사자|lion| 獅 子     
液化|액화|liquefaction| 液 化     
液體|액체|liquid| 液 體     
流動體|유동체|liquid| 流 動 體    
液量|액량|liquid measure| 液 量     
淸算|청산|liquidation| 淸 算     
流動性|유동성|liquidity| 流 動 性    
聽取|청취|listening| 聽 取     
文學的|문학적인|literary| 文 學 的    
文學|문학|literature| 文 學     
文獻|문헌|literature| 文 獻     
文藝|문예|literature| 文 藝     
生計|생계|livelihood| 生 計     
活氣|활기|liveliness| 活 氣     
快活|쾌활|liveliness| 快 活     
